city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Lahore,iOS,Easypaisa,Auto,Monthly,574,220
Lahore,iOS,Easypaisa,Auto,Quarterly,24,15
Lahore,iOS,Easypaisa,Auto,Weekly,2018,1232
Lahore,iOS,JazzCash,Manual,Half Yearly,5,0
Lahore,iOS,JazzCash,Manual,Monthly,311,22
Lahore,iOS,JazzCash,Manual,Quarterly,1,0
Lahore,iOS,JazzCash,Manual,Weekly,102,7
Lahore,iOS,JazzCash Checkout,Auto,Half Yearly,41,31
Lahore,iOS,JazzCash Checkout,Auto,Monthly,841,597
Lahore,iOS,JazzCash Checkout,Auto,Quarterly,77,55
Lahore,iOS,JazzCash Checkout,Auto,Weekly,9069,7031
Lahore,iOS,Ufone,Auto,Monthly,77,63
Lahore,iOS,Ufone,Auto,Weekly,1291,1080
Lahore,iOS,Zindigi,Manual,Monthly,5,0
Lahore,iOS,Zindigi,Manual,Quarterly,1,0
Lahore,iOS,Zindigi,Manual,Weekly,9,2
Lahore,iOS,Zong,Auto,Monthly,6,1
Lahore,iOS,Zong,Auto,Quarterly,1,0
Lahore,iOS,Zong,Auto,Weekly,290,159
Multan,Android,Bill Payment,Manual,Monthly,26,2
Multan,Android,Bill Payment,Manual,Quarterly,3,0
Multan,Android,Bill Payment,Manual,Weekly,53,3
Multan,Android,Credit/Debit Card,Manual,Half Yearly,2,0
Multan,Android,Credit/Debit Card,Manual,Monthly,109,15
Multan,Android,Credit/Debit Card,Manual,Quarterly,2,0
Multan,Android,Credit/Debit Card,Manual,Weekly,195,27
Multan,Android,Easypaisa,Auto,Half Yearly,4,2
Multan,Android,Easypaisa,Auto,Monthly,251,50
Multan,Android,Easypaisa,Auto,Quarterly,4,2
Multan,Android,Easypaisa,Auto,Weekly,1163,558
Multan,Android,JazzCash,Manual,Monthly,216,12
Multan,Android,JazzCash,Manual,Quarterly,1,0
Multan,Android,JazzCash,Manual,Weekly,116,11
Multan,Android,JazzCash Checkout,Auto,Half Yearly,8,5
Multan,Android,JazzCash Checkout,Auto,Monthly,289,174
Multan,Android,JazzCash Checkout,Auto,Quarterly,15,10
Multan,Android,JazzCash Checkout,Auto,Weekly,6144,4514
Multan,Android,Ufone,Auto,Monthly,21,20
Multan,Android,Ufone,Auto,Weekly,293,245
Multan,Android,Zindigi,Manual,Monthly,4,0
Multan,Android,Zindigi,Manual,Weekly,8,1
Multan,Android,Zong,Auto,Weekly,82,26
Multan,Unknown,Bill Payment,Manual,Monthly,1,0
Multan,Unknown,Bill Payment,Manual,Weekly,1,0
Multan,Unknown,Credit/Debit Card,Manual,Monthly,6,0
Multan,Unknown,Credit/Debit Card,Manual,Weekly,5,0
Multan,Unknown,Easypaisa,Auto,Monthly,6,2
Multan,Unknown,Easypaisa,Auto,Weekly,24,14
Multan,Unknown,JazzCash,Manual,Weekly,1,0
Multan,Unknown,JazzCash Checkout,Auto,Monthly,9,7
Multan,Unknown,JazzCash Checkout,Auto,Weekly,97,68
Multan,Unknown,JazzWorld,Manual,Monthly,4,0
Multan,Unknown,JazzWorld,Manual,Weekly,3,0
Multan,iOS,Bill Payment,Manual,Monthly,11,2
Multan,iOS,Bill Payment,Manual,Quarterly,2,0
Multan,iOS,Bill Payment,Manual,Weekly,17,1
Multan,iOS,Credit/Debit Card,Manual,Monthly,32,1
Multan,iOS,Credit/Debit Card,Manual,Quarterly,2,1
Multan,iOS,Credit/Debit Card,Manual,Weekly,49,8
Multan,iOS,Easypaisa,Auto,Half Yearly,1,0
Multan,iOS,Easypaisa,Auto,Monthly,60,14
Multan,iOS,Easypaisa,Auto,Quarterly,1,0
Multan,iOS,Easypaisa,Auto,Weekly,187,124
Multan,iOS,JazzCash,Manual,Monthly,37,4
Multan,iOS,JazzCash,Manual,Weekly,17,1
Multan,iOS,JazzCash Checkout,Auto,Half Yearly,3,2
Multan,iOS,JazzCash Checkout,Auto,Monthly,91,63
Multan,iOS,JazzCash Checkout,Auto,Quarterly,8,4
Multan,iOS,JazzCash Checkout,Auto,Weekly,1078,820
Multan,iOS,Ufone,Auto,Weekly,103,78
Multan,iOS,Zindigi,Manual,Weekly,1,0
Multan,iOS,Zong,Auto,Weekly,39,6
Other,Android,Bill Payment,Manual,Half Yearly,8,0
Other,Android,Bill Payment,Manual,Monthly,204,24
Other,Android,Bill Payment,Manual,Quarterly,8,0
Other,Android,Bill Payment,Manual,Weekly,412,29
Other,Android,Coupon,Manual,Weekly,1,0
Other,Android,Credit/Debit Card,Manual,Half Yearly,11,1
Other,Android,Credit/Debit Card,Manual,Monthly,547,45
Other,Android,Credit/Debit Card,Manual,Quarterly,13,1
Other,Android,Credit/Debit Card,Manual,Weekly,814,111
Other,Android,Easypaisa,Auto,Half Yearly,42,21
Other,Android,Easypaisa,Auto,Monthly,1901,729
Other,Android,Easypaisa,Auto,Quarterly,81,50
Other,Android,Easypaisa,Auto,Weekly,8954,5255
Other,Android,JazzCash,Manual,Half Yearly,2,0
Other,Android,JazzCash,Manual,Monthly,643,53
Other,Android,JazzCash,Manual,Quarterly,3,0
